Company,Location,Country,Date,Year,Rocket,Mission,RocketStatus,Price,MissionStatus
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",USA,12/18/1958,1958,SM-65B Atlas,SCORE,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,1/2/1959,1959,Vostok,Luna-1,Retired,0,Partial Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",USA,2/17/1959,1959,Vanguard,Vanguard 2,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,2/28/1959,1959,Thor-DM18 Agena-A,Discoverer 1,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,4/13/1959,1959,Thor-DM18 Agena-A,Discoverer 2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",USA,4/14/1959,1959,Vanguard,Vanguard SLV-5,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,6/3/1959,1959,Thor-DM18 Agena-A,Discoverer 3,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,6/18/1959,1959,Vostok,E-1A n†­1 (Luna-2),Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",USA,6/22/1959,1959,Vanguard,Vanguard SLV-6,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,6/25/1959,1959,Thor-DM18 Agena-A,Discoverer 4,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,8/7/1959,1959,Thor DM-18 Able-III,Explorer 6,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,8/13/1959,1959,Thor-DM18 Agena-A,Discoverer 5,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,8/19/1959,1959,Thor-DM18 Agena-A,Discoverer 6,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,9/9/1959,1959,Atlas-D Mercury,Big Joe 1,Retired,0,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/12/1959,1959,Vostok,Luna-2,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,9/17/1959,1959,Thor DM-18 Able-II,Transit 1A,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",USA,9/18/1959,1959,Vanguard,Vanguard 3,Retired,0,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/4/1959,1959,Vostok,Luna-3,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,11/7/1959,1959,Thor-DM18 Agena-A,Discoverer 7,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,11/20/1959,1959,Thor-DM18 Agena-A,Discoverer 8,Retired,0,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",USA,11/26/1959,1959,Atlas-D Able,Pioneer P-3,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,2/4/1960,1960,Thor-DM18 Agena-A,Discoverer 9,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,2/19/1960,1960,Thor-DM18 Agena-A,Discoverer 10,Retired,0,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",USA,2/26/1960,1960,Atlas-LV3 Agena-A,Midas 1,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,3/11/1960,1960,Thor DM-18 Able-IV,Pioneer 5,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,4/1/1960,1960,Thor DM-18 Able-II,TIROS-1,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,4/13/1960,1960,Thor-DM21 Ablestar,Transit 1B,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/15/1960,1960,Vostok,E-3 n†­2 (Luna-3),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,4/15/1960,1960,Thor-DM18 Agena-A,Discoverer 11,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/16/1960,1960,Vostok,E-3 n†­3 (Luna-3),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,5/13/1960,1960,Thor DM-19 Delta,Echo 1,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/15/1960,1960,Vostok,Korabl-Sputnik 1,Retired,0,Success
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",USA,5/24/1960,1960,Atlas-LV3 Agena-A,Midas 2,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,6/22/1960,1960,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,6/29/1960,1960,Thor-DM18 Agena-A,Discoverer 12,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/28/1960,1960,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,0,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,7/29/1960,1960,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,8/10/1960,1960,Thor-DM18 Agena-A,Discoverer 13,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,8/12/1960,1960,Thor DM-19 Delta,Echo 1A,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,8/18/1960,1960,Thor-DM18 Agena-A,Discoverer 14,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,8/18/1960,1960,Thor-DM21 Ablestar,Courier 1A,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/19/1960,1960,Vostok,Korabl-Sputnik 2,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,9/13/1960,1960,Thor-DM18 Agena-A,Discoverer 15,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,9/25/1960,1960,Atlas-D Able,Pioneer P-30,Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,10/4/1960,1960,Thor-DM21 Ablestar,Courier 1B,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/10/1960,1960,Molniya,1M n†­1 (Marsnik 1),Retired,0,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,10/11/1960,1960,Atlas-LV3 Agena-A,Samos 1,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/14/1960,1960,Molniya,1M n†­2 (Marsnik 2),Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,10/26/1960,1960,Thor DM-21 Agena-B,Discoverer 16,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,11/12/1960,1960,Thor DM-21 Agena-B,Discoverer 17,Retired,0,Success
