Company,Location,Country,Date,Year,Rocket,Mission,RocketStatus,Price,MissionStatus
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,7/14/1974,1974,Atlas-E/F PTS,P73-3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,7/23/1974,1974,Molniya-M /Block L,Molniya-2 n†­42,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/25/1974,1974,Voskhod,Cosmos 667,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,7/25/1974,1974,Cosmos-2I (63SM),Cosmos 668,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,7/26/1974,1974,Voskhod,Cosmos 669,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/6/1974,1974,Soyuz U,Cosmos 670,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,8/7/1974,1974,Voskhod,Cosmos 671,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/12/1974,1974,Soyuz U,Cosmos 672,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,8/14/1974,1974,Titan III(24)B,OPS 3004,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,8/16/1974,1974,Vostok-2M,Cosmos 673,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/28/1974,1974,Soyuz,Soyuz 15,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/29/1974,1974,Voskhod,Cosmos 674,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,8/29/1974,1974,Cosmos-3M (11K65M),Cosmos 675,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,8/30/1974,1974,Voskhod,Zenit-2M n†­51,Retired,,Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,9/11/1974,1974,Cosmos-3M (11K65M),Cosmos 676,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,9/19/1974,1974,Cosmos-3M (11K65M),Cosmos 677 to 684,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/20/1974,1974,Voskhod,Cosmos 685,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,9/26/1974,1974,Cosmos-2I (63SM),Cosmos 686,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,10/11/1974,1974,Cosmos-3M (11K65M),Cosmos 687,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",Kenya,10/15/1974,1974,Scout B1,Ariel 5,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,10/18/1974,1974,Voskhod,Cosmos 688,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,10/18/1974,1974,Cosmos-3M (11K65M),Cosmos 689,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,10/22/1974,1974,Soyuz U,Cosmos 690,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,10/24/1974,1974,Molniya-M /Block L,Molniya-1 n†­44,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/25/1974,1974,Soyuz U,Cosmos 691,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,10/28/1974,1974,Vostok-2M,Meteor n†­29,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,10/29/1974,1974,Titan IIID,"KH-9, S3 & SSF-B-26",Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,10/31/1974,1974,Cosmos-3M (11K65M),Intercosmos-12,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,11/1/1974,1974,Voskhod,Cosmos 692,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,11/4/1974,1974,Soyuz M,Cosmos 693,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,11/5/1974,1974,Long March 2,FSW-0 No.0,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,11/16/1974,1974,Voskhod,Cosmos 694,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,11/20/1974,1974,Cosmos-2I (63SM),Cosmos 695,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,11/21/1974,1974,Molniya-M /Block L,Molniya-3 n†­45,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,11/21/1974,1974,Atlas-SLV3D Centaur-D1A,Intelsat 4 F8,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,11/27/1974,1974,Voskhod,Cosmos 696,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/2/1974,1974,Soyuz U,Soyuz 16,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,12/10/1974,1974,Titan IIIE,Helios-1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,12/13/1974,1974,Soyuz U,Cosmos 697,Retired,,Partial Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,12/17/1974,1974,Vostok-2M,Meteor n†­30,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/18/1974,1974,Cosmos-3M (11K65M),Cosmos 698,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,12/21/1974,1974,Molniya-M /Block L,Molniya-2 n†­46,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/24/1974,1974,Tsyklon-2,Cosmos 699,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/26/1974,1974,Cosmos-3M (11K65M),Cosmos 700,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/27/1974,1974,Voskhod,Cosmos 701,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,1/10/1975,1975,Soyuz,Soyuz 17,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,1/17/1975,1975,Voskhod,Cosmos 702,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,1/21/1975,1975,Cosmos-2I (63SM),Cosmos 703,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,1/23/1975,1975,Voskhod,Cosmos 704,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,1/28/1975,1975,Cosmos-2I (63SM),Cosmos 705,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,1/30/1975,1975,Molniya-M /Block 2BL,Cosmos 706,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,2/5/1975,1975,Cosmos-3M (11K65M),Cosmos 707,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,2/6/1975,1975,Molniya-M /Block L,Molniya-2 n†­47,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",France,2/6/1975,1975,Diamant BP4,Starlette,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,2/12/1975,1975,Cosmos-3M (11K65M),Cosmos 708,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,2/12/1975,1975,Voskhod,Cosmos 709,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,2/20/1975,1975,Atlas-SLV3D Centaur-D1A,Intelsat 4 F6,Retired,,Failure
ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,2/24/1975,1975,Mu-III C,Taiyo,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/26/1975,1975,Voskhod,Cosmos 710,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,2/28/1975,1975,Cosmos-3M (11K65M),Cosmos 711 to 718,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",USA,3/10/1975,1975,Titan III(34)B Agena-D,Jumpseat 4,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/12/1975,1975,Voskhod,Cosmos 719,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,3/21/1975,1975,Soyuz U,Cosmos 720,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/26/1975,1975,Voskhod,Cosmos 721,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/27/1975,1975,Voskhod,Cosmos 722,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,3/27/1975,1975,Cosmos-3M (11K65M),Intercosmos-13,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,4/1/1975,1975,Vostok-2M,Meteor n†­31,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/2/1975,1975,Tsyklon-2,Cosmos 723,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/5/1975,1975,Soyuz,Soyuz 18a (7K-T n†­39),Retired,,Failure
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/7/1975,1975,Tsyklon-2,Cosmos 724,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,4/8/1975,1975,Cosmos-2I (63SM),Cosmos 725,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,4/11/1975,1975,Cosmos-3M (11K65M),Cosmos 726,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,4/13/1975,1975,Atlas-E/F Star-17A,P72-2,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,4/14/1975,1975,Molniya-M /Block ML,Molniya-3 n†­48,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/16/1975,1975,Soyuz U,Cosmos 727,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,4/18/1975,1975,Voskhod,Cosmos 728,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,4/18/1975,1975,Titan III(24)B,OPS 4883,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,4/19/1975,1975,Cosmos-3M (11K65M),Aryabhata,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,4/22/1975,1975,Cosmos-3M (11K65M),Cosmos 729,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,4/24/1975,1975,Voskhod,Cosmos 730,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,4/29/1975,1975,Molniya-M /Block ML,Molniya-1 n†­49,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",Kenya,5/7/1975,1975,Scout F1,Explorer 53,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",France,5/17/1975,1975,Diamant BP4,Castor & Pollux,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,5/20/1975,1975,Titan III(23)C,DSCS-II 5&6,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/21/1975,1975,Voskhod,Cosmos 731,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,5/22/1975,1975,Atlas-SLV3D Centaur-D1A,Intelsat 4 F1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/24/1975,1975,Soyuz,Soyuz 18,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,5/25/1975,1975,Soyuz U,Cosmos 1012,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,5/28/1975,1975,Cosmos-3M (11K65M),Cosmos 732 to 739,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/28/1975,1975,Voskhod,Cosmos 740,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,5/30/1975,1975,Voskhod,Cosmos 741,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,6/3/1975,1975,Cosmos-3M (11K65M),DS-U3 satellite,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,6/3/1975,1975,Voskhod,Cosmos 742,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,6/5/1975,1975,Molniya-M /Block ML,Molniya-1 n†­50 & SRET-2,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,6/8/1975,1975,Titan IIID,KH-9 & SSF-C-5,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,6/12/1975,1975,Soyuz U,Cosmos 743,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",USA,6/18/1975,1975,Atlas-SLV3A Agena-D,AFP-827 (Canyon-6),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,6/20/1975,1975,Vostok-2M,Cosmos 744,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,6/24/1975,1975,Cosmos-2I (63SM),Cosmos 745,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,6/25/1975,1975,Voskhod,Cosmos 746,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,6/27/1975,1975,Voskhod,Cosmos 747,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,7/3/1975,1975,Voskhod,Cosmos 748,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,7/4/1975,1975,Cosmos-3M (11K65M),Cosmos 749,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,7/8/1975,1975,Molniya-M /Block ML,Molniya-2 n†­51,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,7/11/1975,1975,Vostok-2M,Meteor-2 n†­1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/15/1975,1975,Soyuz U,Soyuz 19 (Apollo-Soyuz),Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",USA,7/15/1975,1975,Saturn IB,ASTP (Apollo???Soyuz Test Project),Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,7/17/1975,1975,Cosmos-2I (63SM),Cosmos 750,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,7/23/1975,1975,Voskhod,Cosmos 751,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,7/24/1975,1975,Cosmos-3M (11K65M),Cosmos 752,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,7/26/1975,1975,Feng Bao 1,JSSW-3,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,7/31/1975,1975,Voskhod,Cosmos 753,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/13/1975,1975,Voskhod,Cosmos 754,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,8/14/1975,1975,Cosmos-3M (11K65M),Cosmos 755,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,8/20/1975,1975,Titan IIIE,Viking 1,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,8/22/1975,1975,Vostok-2M,Cosmos 756,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,8/27/1975,1975,Voskhod,Cosmos 757,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,9/2/1975,1975,Molniya-M /Block ML,Molniya-1 n†­52,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,9/5/1975,1975,Soyuz U,Cosmos 758,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,9/9/1975,1975,Molniya-M /Block ML,Molniya-2 n†­53,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,9/9/1975,1975,N-I,Kiku 1,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,9/9/1975,1975,Titan IIIE,Viking 2,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,9/12/1975,1975,Soyuz U,Cosmos 759,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/16/1975,1975,Voskhod,Cosmos 760,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,9/17/1975,1975,Cosmos-3M (11K65M),Cosmos 761 to 768,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,9/18/1975,1975,Vostok-2M,Meteor n†­32,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,9/23/1975,1975,Voskhod,Cosmos 769,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,9/24/1975,1975,Cosmos-3M (11K65M),Cosmos 770,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,9/25/1975,1975,Soyuz U,Cosmos 771,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,9/26/1975,1975,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F1,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",France,9/27/1975,1975,Diamant BP4,Aura,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/29/1975,1975,Soyuz U,Cosmos 772,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,9/30/1975,1975,Cosmos-3M (11K65M),Cosmos 773,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/1/1975,1975,Voskhod,Cosmos 774,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,10/9/1975,1975,Titan III(24)B,OPS 5499,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,10/17/1975,1975,Voskhod,Cosmos 776,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/29/1975,1975,Tsyklon-2,Cosmos 777,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,11/4/1975,1975,Voskhod,Cosmos 779,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,11/14/1975,1975,Molniya-M /Block ML,Molniya-3 n†­54,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,11/15/1975,1975,Cosmos-3M (11K65M),Cosmos 778,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,11/16/1975,1975,Long March 2,FSW-0 No.1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,11/17/1975,1975,Soyuz U,Soyuz 20,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,11/21/1975,1975,Voskhod,Cosmos 780,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,11/21/1975,1975,Cosmos-3M (11K65M),Cosmos 781,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,11/25/1975,1975,Soyuz U,Cosmos 782,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,11/28/1975,1975,Cosmos-3M (11K65M),Cosmos 783,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,12/3/1975,1975,Voskhod,Cosmos 784,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,12/4/1975,1975,Titan IIID,KH-9 & S3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/11/1975,1975,Cosmos-3M (11K65M),Intercosmos-14,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/12/1975,1975,Tsyklon-2,Cosmos 785,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,12/14/1975,1975,Titan III(23)C,DSP-5,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,12/16/1975,1975,Feng Bao 1,JSSW-4,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/16/1975,1975,Voskhod,Cosmos 786,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,12/17/1975,1975,Molniya-M /Block ML,Molniya-2 n†­55,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/19/1975,1975,Cosmos-3M (11K65M),DS-P1 satellite,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/22/1975,1975,Molniya-M /Block SO-L,Prognoz n†­4,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,12/25/1975,1975,Vostok-2M,Meteor n†­33,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,12/27/1975,1975,Molniya-M /Block ML,Molniya-3 n†­56,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,1/6/1976,1976,Cosmos-3M (11K65M),Cosmos 787,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,1/7/1976,1976,Voskhod,Cosmos 788,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,1/15/1976,1976,Titan IIIE,Helios-2,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,1/20/1976,1976,Cosmos-3M (11K65M),Cosmos 789,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,1/22/1976,1976,Molniya-M /Block ML,Molniya-1 n†­57,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,1/22/1976,1976,Cosmos-3M (11K65M),Cosmos 790,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,1/28/1976,1976,Cosmos-3M (11K65M),Cosmos 791 to 798,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,1/29/1976,1976,Voskhod,Cosmos 799,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,1/29/1976,1976,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F2,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,2/3/1976,1976,Cosmos-3M (11K65M),Cosmos 800,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,2/4/1976,1976,Mu-III C,Corsa A,Retired,,Failure
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,2/5/1976,1976,Cosmos-2I (63SM),Cosmos 801,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/11/1976,1976,Voskhod,Cosmos 802,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,2/12/1976,1976,Cosmos-3M (11K65M),Cosmos 803,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/16/1976,1976,Tsyklon-2,Cosmos 804,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,2/20/1976,1976,Soyuz U,Cosmos 805,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,2/29/1976,1976,N-I,Ume 1,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/10/1976,1976,Soyuz U,Cosmos 806,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/11/1976,1976,Molniya-M /Block ML,Molniya-1 n†­58,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,3/12/1976,1976,Cosmos-3M (11K65M),Cosmos 807,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/13/1976,1976,Tsyklon-2,Cosmos 814,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,3/14/1976,1976,Titan III(23)C,"LES-8, LES-9, Solrad-11a, Solrad-11b",Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/16/1976,1976,Vostok-2M,Cosmos 808,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/18/1976,1976,Soyuz U,Cosmos 809,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/19/1976,1976,Molniya-M /Block ML,Molniya-1 n†­59,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,3/22/1976,1976,Titan III(24)B,OPS 7600,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,3/26/1976,1976,Voskhod,Cosmos 810,Retired,,Success
